PID;sigla;Version;Variant;title;notbefore;notafter
lol-390;Lz;1;A1; Linz, Oberösterreichische Landesbibliothek, Hs. 390 (Schiffmann 272);1250.0;1250.0
won-363;W;1;A1; Wien, Österreichische Nationalbibliothek, Cod. 363;1180.0;1183.0
lbm-445;Ly;1;A2; Lyon, Bibliothèque Municipale, Ms. 445;1200.0;1299.0
lol-490;Lz1;1;A2; Linz, Oberösterreichische Landesbibliothek, Hs. 490 (Schiffmann 26);1250.0;1250.0
mbb-clm-2660;M5;1;A2; München, Bayerische Staatsbibliothek, Clm 2660;1300.0;1324.0
won-378;W1;1;A2; Wien, Österreichische Nationalbibliothek, Cod. 378;1200.0;1299.0
won-364;W7;1;A2; Wien, Österreichische Nationalbibliothek, Cod. 364;1312.0;1347.0
abs-128;Ad;2;A3; Admont, Benediktinerstift, Cod. 128;1225.0;1274.0
sep-a-x-12;S;2;A3; Salzburg, Erzabtei St. Peter, Benediktinerstift, Bibliothek, a X 12;1200.0;1299.0
won-12538;W5;2;A3; Wien, Österreichische Nationalbibliothek, Cod. 12538;1250.0;1274.0
mbb-clm-314;M2;2;A3; München, Bayerische Staatsbibliothek, Clm 314;1250.0;1299.0
bbr-5554-56;Br1;1;B; Brüssel, Bibliothèque Royale de Belgique, Ms. 5554-56;1200.0;1299.0
cam-680;Ca;1;B; Cambrai, Bibliothèque Municipale, Ms. 680 (620);1180.0;1224.0
kha-w-247;Kö;1;B; Köln, Historisches Archiv der Stadt Köln, W 247;1150.0;1199.0
lbl-add-60628-1;L6;2;E1; London, British Library, Add MS 60628/1;1250.0;1260.0
lbl-roy-14-b-ix;L7;2;E1; London, British Library, Royal MS 14 B IX;1250.0;1299.0
npm-m-628;Ny1;2;E1; New York, Pierpont Morgan Library, M.628;1250.0;1299.0
obl-lat-th-b-1;O6;2;E1; Oxford, Bodleian Library, MS Lat. th. b. 1 (R);1225.0;1274.0
pen-masson-71;P12;2;E1; Paris , Ecole nationale superieure des Beaux-Arts, ms. Masson 71;1290.0;1300.0
pfl-lew-e-249a-b;Ph;2;E1; Philadelphia, Free Library, Rare Book Department, Lewis E 249A-B;1280.0;1299.0
ccc-83;C3;3;E2; Cambridge, Corpus Christi College, MS 83;1210.0;1229.0
lbl-cot-fau-b-vii;L2;3;E2; London, British Library, Cotton MS Faustina B VII;1208.0;1216.0
obl-ash-1524;O;3;E2; Oxford, Bodleian Library, MS Ashmole 1524;1200.0;1224.0
bsb-ham-503;B;1;E3; Berlin, Staatsbibliothek, Ms. Ham. 503;1175.0;1199.0
cul-ff-3-7;C10;1;E3; Cambridge, University Library, Ff. 3.7;1300.0;1399.0
obl-laud-270;O3;1;E3; Oxford, Bodleian Library, MS Laud. Misc. 270;1225.0;1249.0
obl-bod-164;O7;1;E3; Oxford, Bodleian Library, MS Bodl. 164;1275.0;1299.0
eul-18-db-i-5;Ed;1;E4; Edinburgh, University Library, 18 D.b. I. 5;1200.0;1299.0
hub-sal-ix-40;H;1;E4; Heidelberg, Universitätsbibliothek, Cod. Sal. IX, 40;1290.0;1309.0
lbl-roy-4-b-vii;L8;1;E4; London, British Library, Royal MS 4 B VII;1200.0;1299.0
lbl-roy-8-c-ix;L9;1;E4; London, British Library, Royal MS 8 C IX;1200.0;1299.0
mrm-mik-6365;Mv;1;E4; Mikulov, Regionální muzeum v Mikulově, MIK 6365;1285.0;1333.0
nbl-osborn-fa75;Nh;1;E4; New Haven, Yale University, Beinecke Rare Book and Manuscript Library, Osborne fa75;1225.0;1249.0
occ-159;O1;1;E4; Oxford, Corpus Christi College, MS 159;1200.0;1215.0
obl-bod-roll-12;O10;1;E4; Oxford, Bodleian Library, MS Bodl. Rolls 12;1325.0;1374.0
obl-laud-151;O2;1;E4; Oxford, Bodleian Library, MS Laud. Misc. 151;1225.0;1249.0
cgc-249;C13;1;E5; Cambridge, Gonville and Caius College, MS 249;1464.0;1464.0
cul-dd-3-56;C14;1;E5; Cambridge, University Library, Dd. 3.56;1400.0;1499.0
lbl-add-11758;L19;1;E5; London, British Library, Add MS 11758;1400.0;1499.0
mbb-clm-30015;M8;1;E5; München, Bayerische Staatsbibliothek, Clm 30015;1300.0;1499.0
mjr-gast-2037;Ma1;1;E5; Manchester, John Rylands Library, Gaster MS 2037;1425.0;1474.0
pul-scheide-6;Pn;1;E5; Princeton, Princeton University Library, MS Scheide 6;1275.0;1299.0
whb-25-1-extr;Wf2;1;E5; Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 25.1 Extrav.;1300.0;1399.0
osj-58;O12;1;E5; Oxford, St. John's College Library, MS 58;1475.0;1499.0
bun-762;Bc;1;ES1; Barcelona, Biblioteca de la Universitat de Barcelona, Sig. Ms. 762;1300.0;1499.0
 mne-res-199;Md;1;ES1;Biblioteca Nacional de España;1300;1325
bbr-1270-71;Br;1;F1; Brüssel, Bibliothèque Royale de Belgique, Ms. 1270-71;1200.0;1299.0
ccc-437;C5;1;F1; Cambridge, Corpus Christi College, MS 437;1200.0;1299.0
cnl-29;Ch1;1;F1; Chicago, Newberry Library, MS 29 (66-1827);1350.0;1399.0
euf-dep-erf-ca-2-108;E;1;F1; Erfurt, Universitäts- und Forschungsbibliothek Erfurt/Gotha, Dep. Erf. CA. 2° 108;1267.0;1299.0
kac-696;K;1;F1; Klosterneuburg, Augustiner Chorherrenstift, Cod. 696;1200.0;1299.0
lzs-227;Lf;1;F1; Lilienfeld, Zisterzienserstift, Cod. 227;1300.0;1324.0
mbb-clm-8715;M1;1;F1; München, Bayerische Staatsbibliothek, Clm 8715;1200.0;1233.0
