Ad_2_AT3_13 010000010001111111111?1000100000000010000000001000000000100000000010000000001
G_1_DE1_14 01000000000101010101001000110001000011000100001100010000110001000011000100001
K_1_FR1_13 01000000000101010101001000110001101111000110111100011011110001101111000110111
Kr_0_CH2_14 001000000000000000000-1000-11011100011101110001110111000111011100011101110001
Lf_1_FR1_14 010000000001010101010?1000100001101110000110111000011011100001101110000110111
Lz_1_AT1_13 01000000000101010101001000110001100011000110001100011000110001100011000110001
Lz1_1_AT2_13 00001000000101010101011000111000010011100001001110000100111000010011100001001
S_2_AT3_13 010000010001111111111?1000100000000010000000001000000000100000000010000000001
W_1_AT1_12 01000000000101010101001000110000000011000000001100000000110000000011000000001
W7_1_AT2_14 000010000001010101010?1000111011010011101101001110110100111011010011101101001
W1_1_AT2_13 010000000001010101010?1000110011000011001100001100110000110011000011001100001
W2_0_0_13 001000010001111111111?100011101---0-11101---0-11101---0-11101---0-11101---0-1
W3_1_DE2_13 0001000000010101010101100010000---0010000---0010000---0010000---0010000---001
W4_0_0_13 00100000000101010101011000100100000010010000001001000000100100000010010000001
W5_2_AT3_13 00100001000111111111101000100000000010000000001000000000100000000010000000001
Br_1_FR1_13 01000000000101010101001000110001101111000110111100011011110001101111000110111
Br1_1_BE1_13 010000000000000000000-1000-00001010010000101001000010100100001010010000101001
Br2_1_BE1_14 10000010000101010101001000110001100011000110001100011000110001100011000110001
Br4_0_0_14 100000010001111111111?1000110110101111011010111101101011110110101111011010111
Aa_2_CH2_14 0010000000010101010100100011100-001101100-001101100-001101100-001101100-00110
Ba_0_0_13 00100001010101010101011000100001101010000110101000011010100001101010000110101
Co_0_FR6_13 010000010001111111111?0100111010100011101010001110101000111010100011101010001
Sg_1_IT1_13 00100000000101010101001000110000100011000010001100001000110000100011000010001
Z1_4_CH1_15 001000010001010101010-0100111001100011100110001110011000111001100011100110001
Pr_0_0_14 0010000100010101010100100010000-010010000-010010000-010010000-010010000-01001
Mv_1_GB3_13 1000001000010101010101100010111-----10111-----10111-----10111-----10111-----1
Bc_1_ES1_14 010000010001010101010?1000110001000001000100000100010000010001000001000100000
Ax_1_FR2_13 010000000001010101010?0100110001101111000110111100011011110001101111000110111
