Ad_2_AT3_13 0100000100011?10001000100010001000111110000000001
G_1_DE1_14 0100000000010010001000100010001000111111000100001
K_1_FR1_13 0100000000010010001000100010001000111111000110111
Kr_0_CH2_14 0010000000000-10001000100010001000-----1101110001
Lf_1_FR1_14 0100000000010?10001000100010001000111110000110111
Lz_1_AT1_13 0100000000010010001000100010001000111111000110001
Lz1_1_AT2_13 0000100000010110001000100010001000111111100001001
S_2_AT3_13 0100000100011?10001000100010001000111110000000001
W_1_AT1_12 0100000000010010001000100010001000111111000000001
W7_1_AT2_14 0000100000010?10001000100010001000111111101101001
W1_1_AT2_13 0100000000010?10001000100010001000111111001100001
W2_0_0_13 0010000100011?10001000100010001000111111101---0-1
W3_1_DE2_13 0001000000010110001000100010001000111110000---001
W4_0_0_13 0010000000010110001000100010001000111110010000001
W5_2_AT3_13 0010000100011010001000100010001000111110000000001
Br_1_FR1_13 0100000000010010001000100010001000111111000110111
Br1_1_BE1_13 0100000000000-10001000100010001000-----0000101001
Br2_1_BE1_14 1000001000010010001000100010001000111111000110001
Br4_0_0_14 1000000100011?10001000100010001000111111011010111
Aa_2_CH2_14 0010000000010010001000100010001000111111100-00110
Ba_0_0_13 0010000101010110001000100010001000111110000110101
Co_0_FR6_13 0100000100011?01000100010001000100111111101010001
Sg_1_IT1_13 0010000000010010001000100010001000111111000010001
Z1_4_CH1_15 0010000100010-01000100010001000100111111100110001
Pr_0_0_14 0010000100010010001000100010001000111110000-01001
Mv_1_GB3_13 1000001000010110001000100010001000111110111-----1
Bc_1_ES1_14 0100000100010?10001000100010001000111111000100000
Ax_1_FR2_13 0100000000010?01000100010001000100111111000110111
Av_2_FR3_14 0000100000010110001000100010001000111110001-----0
Ca_1_BE1_12 0100000000010010001000100010001000111111001010111
Ly_1_AT2_13 0000100000010010001000100010001000111111100001001
NC_1_GB6_13 0010000100011?10001000100010001000111111100001000
P13_0_FR7_14 0100000000010110001000100010001000111111001-00001
P3_0_0_13 0100000000010010001000100010001000111111001001101
P7_0_0_13 0001000000010?10001000100010001000111111000001001
P10_1_FR1_13 0100000000010?10001000100010001000111111001110111
P15_1_DE5_15 0010000100010110001000100010001000111110010110001
P9_0_0_13 0100000000010?10001000100010001000111111000110101
P1_1_FR1_13 0100000000010110001000100010001000111111000010111
P_0_0_13 0100000000010010001000100010001000111111000100001
P4_2_FR3_13 0100000100010110001000100010001000111111001110001
P8_2_FR3_13 0000100000010110001000100010001000111111001010??1
P6_0_0_13 0100000000011101000100010001000100111110000100000
P2_2_FR3_13 0000100000010110001000100010001000111110001110111
P12_2_GB4_13 0010000100011?00010001000100010001000001101001000
T_0_0_13 0100000000010110001000100010001000111111000110101
Va_0_0_13 0100001000010110001000100010001000111111001010101
C2_1_FR1_13 0100000000010010001000100010001000111111000110111
C5_1_FR1_13 0100000000010?10001000100010001000111110000110111
C11_0_0_15 0010000000010110001000100010001000111111101-----1
C8_0_0_13 0100000000010110001000100010001000111111001000101
C_1_GB6_12 1000000000010110001000100010001000111111000000001
C1_0_0_12 0100000100010110001000100010001000111110000110101
C14_1_GB5_15 1000000100010-10001000100010001000111111101000001
C15_0_0_15 0100000000010?10001000100010001000111111000000001
C10_1_GB1_14 1000001000010110001000100010001000111110000-00101
Du_0_0_12 1000000000010101000100010001000100111110000-00001
Ed_1_GB3_13 1000000000010?10001000100010001000111111000000001
L19_1_GB5_15 0010000001010010001000100010001000111111101010101
L12_0_0_13 0010000000010-10001000100010001000111110001100101
L6_2_GB4_13 0010000100011?00010001000100010001000001101-----0
L2_3_GB2_13 1010000000011?10001000100010001000111111100-----1
L4_0_0_13 0001000000010110001000100010001000111111000000001
L1_0_0_12 1000000000010110001000100010001000111110000110001
L8_1_GB3_13 1000000000010101000100010001000100111111101110001
Ma_1_IT1_13 0010000000010010001000100010001000111110000010001
Ma1_0_0_15 0010000100010110001000100010001000111111101-----1
O4_1_FR1_13 0100000000010?10001000100010001000111110000--0111
O7_1_GB1_13 0100000000010010001000100010001000111110000-01001
O10_1_GB3_14 1000000000010?01000100010001000100111111100110101
O5_0_0_13 0010000001010110001000100010001000111110000000000
O2_1_GB3_13 1000000000000-10001000100010001000000001101000101
O3_1_GB1_13 1000001000010110001000100010001000111110000-00001
O9_0_0_13 1000000000010110001000100010001000111111000001101
Y_2_FR4_14 0010000100011?1000100010001000100011111110000100?
A_1_DE5_14 0010000100011110001000100010001000111110010110001
