Ad_2_AT3_13 010000010001000001000100000100010000010001000001000001111?10001000100011000000000000001101
Ad1_0_0_15 001000000000100000000010000000001000000000100000000001100010001000100011100100100011100001
G1_2_FR5_14 010000100001000010000100001000010000100001000010000001111?10001000100011000000000100000000
G_1_DE1_14 010000000001000000000100000000010000000001000000000001100010001000100011100100100011000001
K_1_FR1_13 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101111
Kr_0_CH2_14 001000000000100000000010000000001000000000100000000000000-100010001000--110110110111100001
Lf_1_FR1_14 010000000001000000000100000000010000000001000000000001100?10001000100011000000000011101111
Lz_1_AT1_13 010000000001000000000100000000010000000001000000000001100010001000100011100100100011100001
Lz1_1_AT2_13 000010000000001000000000100000000010000000001000000001100110001000100011110110110000010001
S_2_AT3_13 010000010001000001000100000100010000010001000001000001111?10001000100011000000000000001101
S3_0_DE9_15 0?000000000?000000000?000000000?000000000?000000000001100110001000100011100100100011100001
W_1_AT1_12 010000000001000000000100000000010000000001000000000001100010001000100011100100100000000001
W7_1_AT2_14 000010000000001000000000100000000010000000001000000001100?10001000100011110110110111010001
W1_1_AT2_13 010000000001000000000100000000010000000001000000000001100?10001000100011100100100111000001
W8_0_0_14 0100000000010000000001000000000100000000010000000000011000100010001000110000000000--000001
W2_0_0_13 001000010000100001000010000100001000010000100001000001111?100010001000111101101101----11-1
W3_1_DE2_13 0001000000000100000000010000000001000000000100000000011001100010001000110000000000----0001
W4_0_0_13 001000000000100000000010000000001000000000100000000001100110001000100011001001001000000001
W5_2_AT3_13 001000010000100001000010000100001000010000100001000001111010001000100011000000000000001101
Br_1_FR1_13 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101111
Br1_1_BE1_13 010000000001000000000100000000010000000001000000000000000-100010001000--000000000011011101
Br2_1_BE1_14 100000100010000010001000001000100000100010000010000001100010001000100011100100100011100001
Br4_0_0_14 100000010010000001001000000100100000010010000001000001111?10001000100011101101101100101111
Br3_0_0_14 001000000000100000000010000000001000000000100000000001100?10001000100011000000000000000001
Aa_0_0_14 0010000000001000000000100000000010000000001000000000011000100010001000111101101100--001110
Ba_0_0_13 001000010100100001010010000101001000010100100001010001100110001000100011000000000011101101
Co_0_FR6_13 010000010001000001000100000100010000010001000001000001111?01000100010011110110110100100001
Sg_1_IT1_13 001000000000100000000010000000001000000000100000000001100010001000100011100100100000100001
Z_2_FR5_15 010000-000010000-000010000-000010000-000010000-0000001111?10001000100011000000000111001111
Z1_4_CH1_15 001000010000100001000010000100001000010000100001000001100-01000100010011110110110011100001
Pr_0_0_14 0010000100001000010000100001000010000100001000010000011000100010001000110000000000--010001
Pr2_0_0_15 001000000000100000000010000000001000000000100000000001111-01000100010011110110110000000001
Mv_1_GB3_13 1000001000100000100010000010001000001000100000100000011001100010001000110110110111-------1
Bc_1_ES1_14 010000010001000001000100000100010000010001000001000001100?10001000100011100100100011000000
Ax_1_FR2_13 010000000001000000000100000000010000000001000000000001100?01000100010011100100100011101111
Av_2_FR3_14 0000100000000010000000001000000000100000000010000000011001100010001000110000000001-------0
Ca_1_BE1_12 010000000001000000000100000000010000000001000000000001100010001000100011100100100100101111
Di1_0_0_14 010000000001000000000100000000010000000001000000000000000-100010001000--100100100111000001
Gr_0_0_13 001000010000100001000010000100001000010000100001000001100110001000100011100100100000010001
Ly_1_AT2_13 000010000000001000000000100000000010000000001000000001100010001000100011110110110000010001
Nc_2_FR5_13 001000010000100001000010000100001000010000100001000001111?10001000100011110110110000010000
P13_0_FR7_14 0100000000010000000001000000000100000000010000000000011001100010001000111001001001--000001
P3_0_0_13 010000000001000000000100000000010000000001000000000001100010001000100011100100100100011101
P7_0_0_13 000100000000010000000001000000000100000000010000000001100?10001000100011100100100000010001
P10_1_FR1_13 010000000001000000000100000000010000000001000000000001100?10001000100011100100100111101111
P15_1_DE5_15 001000010000100001000010000100001000010000100001000001100110001000100011001001001011100001
P9_0_0_13 010000000001000000000100000000010000000001000000000001100?10001000100011100100100011101101
P1_1_FR1_13 010000000001000000000100000000010000000001000000000001100110001000100011100100100000101111
P5_0_0_13 010000000101000000010100000001010000000101000000010000000-100010001000--0000000000-------0
P_0_0_13 010000000001000000000100000000010000000001000000000001100010001000100011100100100011000001
P4_2_FR3_13 010000010001000001000100000100010000010001000001000001100110001000100011100100100111100001
