abs-128 010000010001000001000100000100010000010001000001000001111?10001000100011000000000000001101
gub-182 010000000001000000000100000000010000000001000000000001100010001000100011100100100011000001
kac-696 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101111
kbs-cc-243 001000000000100000000010000000001000000000100000000000000-100010001000--110110110111100001
lzs-227 010000000001000000000100000000010000000001000000000001100?10001000100011000000000011101111
lol-390 010000000001000000000100000000010000000001000000000001100010001000100011100100100011100001
lol-490 000010000000001000000000100000000010000000001000000001100110001000100011110110110000010001
sep-a-x-12 010000010001000001000100000100010000010001000001000001111?10001000100011000000000000001101
won-363 010000000001000000000100000000010000000001000000000001100010001000100011100100100000000001
won-364 000010000000001000000000100000000010000000001000000001100?10001000100011110110110111010001
won-378 010000000001000000000100000000010000000001000000000001100?10001000100011100100100111000001
won-813 001000010000100001000010000100001000010000100001000001111?100010001000111101101101----11-1
won-1506 0001000000000100000000010000000001000000000100000000011001100010001000110000000000----0001
won-1548 001000000000100000000010000000001000000000100000000001100110001000100011001001001000000001
won-12538 001000010000100001000010000100001000010000100001000001111010001000100011000000000000001101
bbr-1270-71 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101111
bbr-5554-56 010000000001000000000100000000010000000001000000000000000-100010001000--000000000011011101
bbr-270 100000100010000010001000001000100000100010000010000001100010001000100011100100100011100001
bbr-9174 100000010010000001001000000100100000010010000001000001111?10001000100011101101101100101111
akb-wettf-9 0010000000001000000000100000000010000000001000000000011000100010001000111101101100--001110
bub-cl-273 001000010100100001010010000101001000010100100001010001100110001000100011000000000011101101
cmb-183 010000010001000001000100000100010000010001000001000001111?01000100010011110110110100100001
skv-vadslg-330 001000000000100000000010000000001000000000100000000001100010001000100011100100100000100001
zzb-car-c-184 001000010000100001000010000100001000010000100001000001100-01000100010011110110110011100001
pnk-iii-e-5 0010000100001000010000100001000010000100001000010000011000100010001000110000000000--010001
mrm-mik-6365 1000001000100000100010000010001000001000100000100000011001100010001000110110110111-------1
bun-762 010000010001000001000100000100010000010001000001000001100?10001000100011100100100011000000
aux-145 010000000001000000000100000000010000000001000000000001100?01000100010011100100100011101111
avr-166 0000100000000010000000001000000000100000000010000000011001100010001000110000000001-------0
cam-680 010000000001000000000100000000010000000001000000000001100010001000100011100100100100101111
lbm-445 000010000000001000000000100000000010000000001000000001100010001000100011110110110000010001
nbm-237 001000010000100001000010000100001000010000100001000001111?10001000100011110110110000010000
pba-1234 0100000000010000000001000000000100000000010000000000011001100010001000111001001001--000001
pbm-305 010000000001000000000100000000010000000001000000000001100010001000100011100100100100011101
pbn-nal-836 000100000000010000000001000000000100000000010000000001100?10001000100011100100100000010001
pbn-lat-297 010000000001000000000100000000010000000001000000000001100?10001000100011100100100111101111
pbn-lat-1660 001000010000100001000010000100001000010000100001000001100110001000100011001001001011100001
pbn-lat-3438 010000000001000000000100000000010000000001000000000001100?10001000100011100100100011101101
pbn-lat-5101 010000000001000000000100000000010000000001000000000001100110001000100011100100100000101111
pbn-lat-14435 010000000001000000000100000000010000000001000000000001100010001000100011100100100011000001
pbn-lat-15254 010000010001000001000100000100010000010001000001000001100110001000100011100100100111100001
pbn-lat-15467 00001000000000100000000010000000001000000000100000000110011000100010001110010010010010???1
pbn-lat-15637 010000000001000000000100000000010000000001000000000001111101000100010011000000000011000000
pbn-lat-17579 000010000000001000000000100000000010000000001000000001100110001000100011000000000111101111
pbn-lat-17579 001000010000100001000010000100001000010000100001000001111?00010001000100110110110100010000
tbm-42 010000000001000000000100000000010000000001000000000001100110001000100011100100100011101101
vbm-385 010000100001000010000100001000010000100001000010000001100110001000100011100100100100101101
ccc-29 010000000001000000000100000000010000000001000000000001100010001000100011100100100011101111
ccc-437 010000000001000000000100000000010000000001000000000001100?10001000100011000000000011101111
ccc-503 0010000000001000000000100000000010000000001000000000011001100010001000111101101101-------1
ctc-b-15-4 010000000001000000000100000000010000000001000000000001100110001000100011100100100100001101
ctc-b-15-5 100000000010000000001000000000100000000010000000000001100110001000100011100100100000000001
cul-dd-1-16 010000010001000001000100000100010000010001000001000001100110001000100011000000000011101101
cul-dd-3-56 100000010010000001001000000100100000010010000001000001100-10001000100011110110110100000001
cul-dd-8-12 010000000001000000000100000000010000000001000000000001100?10001000100011100100100000000001
cul-ff-3-7 1000001000100000100010000010001000001000100000100000011001100010001000110000000000--001101
dcl-b-ii-33 1000000000100000000010000000001000000000100000000000011001010001000100110000000000--000001
eul-18-db-i-5 100000000010000000001000000000100000000010000000000001100?10001000100011100100100000000001
lbl-add-11758 001000000100100000010010000001001000000100100000010001100010001000100011110110110100101101
lbl-add-14819 001000000000100000000010000000001000000000100000000001100-10001000100011000000000111001101
lbl-add-60628-1 001000010000100001000010000100001000010000100001000001111?000100010001001101101101-------0
lbl-cot-fau-b-vii 110000010011000001001100000100110000010011000001000001111?100010001000111101101100-------1
lbl-har-627 000100000000010000000001000000000100000000010000000001100110001000100011100100100000000001
lbl-har-658 100000000010000000001000000000100000000010000000000001100110001000100011000000000011100001
lbl-roy-4-b-vii 100000000010000000001000000000100000000010000000000001100101000100010011110110110111100001
mjr-72 001000000000100000000010000000001000000000100000000001100010001000100011000000000000100001
mjr-gast-2037 0010000100001000010000100001000010000100001000010000011001100010001000111101101101-------1
obl-auc-d-4-10 010000000001000000000100000000010000000001000000000001100?100010001000110000000000---01111
obl-bod-164 0100000000010000000001000000000100000000010000000000011000100010001000110000000000--010001
obl-bod-roll-12 100000000010000000001000000000100000000010000000000001100?01000100010011110110110011101101
obl-fair-13 001000000100100000010010000001001000000100100000010001100110001000100011000000000000000000
obl-laud-151 100000000010000000001000000000100000000010000000000000000-10001000100000110110110100001101
obl-laud-270 1000001000100000100010000010001000001000100000100000011001100010001000110000000000--000001
obl-raw-c-563 100000000010000000001000000000100000000010000000000001100110001000100011100100100000011101
yml-add-256 001000010000100001000010000100001000010000100001000001111?1000100010001111011011000001000?
ass-2-48 001000010000100001000010000100001000010000100001000001111110001000100011001001001011100001
ass-2-521 010000000001000000000100000000010000000001000000000001100010001000100011000000000111000000
bsm-kup-78-d-1 010000100001000010000100001000010000100001000010000001111110001000100011100100100011100001
bsb-ham-503 1000001000100000100010000010001000001000100000100000011001100010001000110000000000--000001
bsb-lat-fol-24 0010000000001000000000100000000010000000001000000000011111100010001000111101101101--010001
bsb-lat-fol-141 010000000001000000000100000000010000000001000000000001100010001000100000000000000111010001
bsb-theol-lat-fol-156 010000000001000000000100000000010000000001000000000001100010001000100011100100100?00001101
bsb-lat-fol-325 010000010001000001000100000100010000010001000001000001111?10001000100011100100100111001110
bsb-theol-lat-fol-64 0100001000010000100001000010000100001000010000100000011110100010001000111101101100--011100
bsu-mbs-0121 001000000000100000000010000000001000000000100000000001100?10001000100011000000000011000001
dul-190 001000010000100001000010000100001000010000100001000001100-01000100010011110110110011100001
eub-st-205 1000000100100000010010000001001000000100100000010000011001100010001000111101101100-------0
etb-960 0100000000010000000001000000000100000000010000000000011111100010001000111001001001-------1
euf-dep-erf-ca-2-055 000100000000010000000001000000000100000000010000000001100?100010001000110000000000----0001
euf-dep-erf-ca-2-079 010000000001000000000100000000010000000001000000000001100110001000100011100100100100010001
euf-dep-erf-ca-2-108 010000000001000000000100000000010000000001000000000001100010001000100011100100100111101111
fsu-germ-quart-13 001000010000100001000010000100001000010000100001000001100-01000100010011110110110011100001
fub-36a 010000?000010000?000010000?000010000?000010000?0000001100010001000100011100100100111001101
gou-4-theol-293 001000000000100000000010000000001000000000100000001110000-100010001000--000000000011011101
hub-sal-ix-40 100000000010000000001000000000100000000010000000000001100110001000100011100100100000000001
kha-w-247 010000000001000000000100000000010000000001000000000001100010001000100011100100100011010001
lub-apel-1 001000000000100000000010000000001000000000100000000001100001000100010011110110110100-01110
lub-1314 001000000000100000000010000000001000000000100000001111100?10001000100011100100100000101111
lrb-theol-fol-6 1000000000100000000010000000001000000000100000000000011001100010001000111001001000--010001
noPID 010000000001000000000100000000010000000001000000000001100?10001000100011100100100011000001
mbb-clm-314 010000100001000010000100001000010000100001000010000001111?10001000100011100100100000101111
mbb-cgm-564 001000000000100000000010000000001000000000100000001111100?1000100010001100000000011100???1
mbb-cgm-1586 000010000000001000000000100000000010000000001000000001100010001000100011100100100111100000
mbb-clm-2660 000010000000001000000000100000000010000000001000000001100010001000100011110110110?0001???1
mbb-clm-5599 010000100001000010000100001000010000100001000010000001111110001000100011000000000000000001
mbb-clm-8201 010000010001000001000100000100010000010001000001000001100110001000100011100100100100100000
mbb-clm-8715 0100000000010000000001000000000100000000010000000000011000100010001000110000000000-------1
mbb-clm-9665 000010000000001000000000100000000010000000001000000000000-100010001000--110110110100011110
mbb-clm-9711 010000010001000001000100000100010000010001000001000001111010001000100011110110110100101111
