abs-128 0100000100011?100010000000101
gub-182 01000000000100100011000100001
kac-696 01000000000100100011000110111
kbs-cc-243 0010000000000-1000-1101110001
lzs-227 0100000000010?100010000110111
lol-390 01000000000100100011000110001
lol-490 00001000000101100011100001001
sep-a-x-12 0100000100011?100010000000101
won-363 01000000000100100011000000001
won-364 0000100000010?100011101101001
won-378 0100000000010?100011001100001
won-813 0010000100011?100011101---1-1
won-1506 00010000000101100010000---001
won-1548 00100000000101100010010000001
won-12538 00100001000110100010000000101
bbr-1270-71 01000000000100100011000110111
bbr-5554-56 0100000000000-1000-0000101101
bbr-270 10000010000100100011000110001
bbr-9174 1000000100011?100011011010111
akb-wettf-9 00100000000100100011100-00110
bub-cl-273 00100001010101100010000110101
cmb-183 0100000100011?010011101010001
skv-vadslg-330 00100000000100100011000010001
zzb-car-c-184 0010000100010-010011100110001
pnk-iii-e-5 00100001000100100010000-01001
mrm-mik-6365 10000010000101100010111-----1
bun-762 0100000100010?100011000100000
aux-145 0100000000010?010011000110111
avr-166 00001000000101100010001-----0
cam-680 01000000000100100011001010111
lbm-445 00001000000100100011100001001
nbm-237 0010000100011?100011100001000
pba-1234 01000000000101100011001-00001
pbm-305 01000000000100100011001001101
pbn-nal-836 0001000000010?100011000001001
pbn-lat-297 0100000000010?100011001110111
pbn-lat-1660 00100001000101100010010110001
pbn-lat-3438 0100000000010?100011000110101
pbn-lat-5101 01000000000101100011000010111
pbn-lat-14435 01000000000100100011000100001
pbn-lat-15254 01000001000101100011001110001
pbn-lat-15467 00001000000101100011001010??1
pbn-lat-15637 01000000000111010010000100000
pbn-lat-17579 00001000000101100010001110111
pbn-lat-17579 0010000100011?000101101001000
tbm-42 01000000000101100011000110101
vbm-385 01000010000101100011001010101
ccc-29 01000000000100100011000110111
ccc-437 0100000000010?100010000110111
ccc-503 00100000000101100011101-----1
ctc-b-15-4 01000000000101100011001000101
ctc-b-15-5 10000000000101100011000000001
cul-dd-1-16 01000001000101100010000110101
cul-dd-3-56 1000000100010-100011101000001
cul-dd-8-12 0100000000010?100011000000001
cul-ff-3-7 10000010000101100010000-00101
dcl-b-ii-33 10000000000101010010000-00001
eul-18-db-i-5 1000000000010?100011000000001
lbl-add-11758 00100000010100100011101010101
lbl-add-14819 0010000000010-100010001100101
lbl-add-60628-1 0010000100011?000101101-----0
lbl-cot-fau-b-vii 1100000100011?100011100-----1
lbl-har-627 00010000000101100011000000001
lbl-har-658 10000000000101100010000110001
lbl-roy-4-b-vii 10000000000101010011101110001
mjr-72 00100000000100100010000010001
mjr-gast-2037 00100001000101100011101-----1
obl-auc-d-4-10 0100000000010?100010000--0111
obl-bod-164 01000000000100100010000-01001
obl-bod-roll-12 1000000000010?010011100110101
obl-fair-13 00100000010101100010000000000
obl-laud-151 1000000000000-100001101000101
obl-laud-270 10000010000101100010000-00001
obl-raw-c-563 10000000000101100011000001101
yml-add-256 0010000100011?10001110000100?
ass-2-48 00100001000111100010010110001
ass-2-521 01000000000100100010001100000
bsm-kup-78-d-1 01000010000111100011000110001
bsb-ham-503 10000010000101100010000-00001
bsb-lat-fol-24 00100000000111100011101-01001
bsb-lat-fol-141 01000000000100100000001101001
bsb-theol-lat-fol-156 0100000000010010001100?000101
bsb-lat-fol-325 0100000100011?100011001100110
bsb-theol-lat-fol-64 01000010000110100011100-01100
bsu-mbs-0121 0010000000010?100010000100001
dul-190 0010000100010-010011100110001
eub-st-205 10000001000101100011100-----0
etb-960 01000000000111100011001-----1
euf-dep-erf-ca-2-055 0001000000010?100010000---001
euf-dep-erf-ca-2-079 01000000000101100011001001001
