tadam_vbb342,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,dor mientis ,,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,auditatis ,,,factis ,peryzomatibus ,,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubyn ,,,et ,flameo ,gladio ,,,,post ,increpationem ,eiectus ,,,,de terra ,malidicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_whafol70,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradyso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,de ,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_fbrricc236,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_khaw247,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,cherubyn ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_mbsclm2660,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nudatus ,,,factis ,,perizomatibus ,,,,,a domino ,,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquirit,,,,,,,,,,,,,
tadam_ccc29,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,para dysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,no mine ,,,,,sicut ,et ,,ceteris ,,rebus ,imposita ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquie uisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,perizom atibus ,,,,,,a domino ,de ,paradyso ,,,collocatis ,cherubym ,,,et ,flam meo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_pbnlat297,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenentia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_cma1973,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradysum ,,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,eua ,,nomine ,,imposito ,sicut ,et ,,ceteris ,,rebus ,,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,,,,,,
tadam_lbm445,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,,paradiso ,,,collocatis ,cherubyn ,,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_won363,,adam ,,in agro ,damasceno ,,formatus ,,et ,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,,inposito ,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,pomo ,comedendo ,,,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,peryzhomatibus ,,,,,,a domino ,de ,paradyso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
tadam_dclbii33,,adam ,,in agro ,damasceno ,,formatus ,,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,,,,,cum ,femine ,de ,costa ,,dormientis ,,facte ,,,nomine ,,,sicut ,et ,,ceteris ,,rebus ,imposito ,,de ,christo ,,,,,,et ,,ecclesia ,prophetasset ,et ,eidem ,,,de ,,comedendo ,,pomo ,acquieuisset ,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a domino ,de ,paradiso ,,,collocatis ,,cherubin ,,et ,flammeo ,gladio ,,,,post ,increpationem ,abiectus ,,,,de terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,,,,,,
