tcain_pbm305,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,eet ,,instabilis ,,,super ,terram ,,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_mbsclm16223,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato  ,interfecit  ,quidam penam equam durasse usquam ad septiam gnatom quorum septem postea quisit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcain_lblroy14bix,caim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_pfllewe72,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,a ,domino ,reprobata ,licet ,ceteris ,a ,domino ,reprobata ,increpatus ,non tamen ,fratrem ,sui ,,abel ,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_swltheolphil2122,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,et ,et ,instabilis ,,,super ,terram ,factus ,post ,,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_penmasson71,chaym ,,,agricola ,dolens ,munera ,sua ,,et ,non ,,fratris ,fuisse ,reprobata ,,a ,domino ,,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus ,accepit urorem ,stilet ,fororem ,sua ,calmana,,,,,,,,,,,,,,,
tcain_nblmar26,chain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_hubsalix40,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,factus ,,super ,teram ,,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_fsugermquart13,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,quam ,,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_fub36a,chain ,,,agricola ,dolens ,munera ,sua ,reprobata ,et ,non ,,fratris ,,,,,,,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terra ,factus ,est ,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_bsbtheollatfol64,c ,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,sue ,,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,siui ,,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,suoer ,,,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_gflchaa4,,cayn ,iiii ,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,increpatus ,a ,domino ,,,,fratrem ,,suum ,,septiformi ,peccato ,oraditur ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_abs583,chaym ,,,agricola ,dolens ,suamunera ,,,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,deo ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,et ,postea ,uagus ,etinstabilis ,,,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_rsa6519,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,,,,,,reprobata ,,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,quorum ,postea ,fagus  ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_nbl1183,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,in ,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,anno  ad cxxx ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus ,sen iiisc,,,,,,,,,,,,,,,,,,,
tcain_vbapallat963,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_ccc29,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_akbwettf9,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,frtris ,,fuisse ,,,,,reprobata ,licet ,,a ,domino ,reprobatus ,,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_pbnlat10431,,cayn  ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus ,figuo ,,,,non ,timore ,s ,,capitis ,,,,est ,imposito ,post ,sicut  ,a ,domino,,
tcain_mbsclm314,cain ,,,,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit  ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,posiens  ,,,a ,domino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_lol490,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,doomino ,est ,maledictus,,,,,,,,,,,,,,,,,,,,
tcain_lub1314,c ,chayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,non recte ,diuisit ,fratri ,inuidit ,dolos egit nocais in agruit ,,occidit ,percauit nagauit incolabilis de  intipeniteria ,,,,,,,,,,,,,non ,,egit ,,,,postea ,uagus ,et ,instabilis ,postquam ,,a ,domino ,est ,maledictus
tcain_fbmplut1511,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_lbladd14819,haim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata  ,licet ,,a ,domino ,fuisset ,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,c ,postquam ,a ,domino ,est ,maledictus ,chaim vii,,,,,,,,,,,,,,,,,,,
tcain_cma1973,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,fuisse ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_vbavatlat1972,caim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,reprobata ,fuisse ,,,,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,suoer ,,,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_pbnlat297,,chayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_kac696,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_pbnlat15467,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,,,,,,,,,,,,et ,,postquam ,,,domino ,est ,maledictus
